applied?,fit,fit_score,title,company,location,url,matched_skills
no,india,58,Forward Deployed AI Engineer,Turing,"Mumbai, Maharashtra, India",https://job-boards.greenhouse.io/turing/jobs/5992524004,"ai engineer, langgraph, langchain, python, rag, llm, api, sql"
no,india,42,AI Researcher,HackerRank,"Hybrid in Bangalore, India",https://job-boards.greenhouse.io/hackerrank/jobs/7988290,"data engineer, python, rest, nlp, llm, ai, ml"
no,india,41,"Machine Learning Engineer, Evaluation",HackerRank,"Hybrid in Bangalore, India",https://job-boards.greenhouse.io/hackerrank/jobs/7793413,"machine learning, agent, rest, rag, llm, ai, ml"
no,india,28,"Software Engineer, Authorization",Postman,"Hyderabad, Telangana, India",https://job-boards.greenhouse.io/postman/jobs/7776298003,"python, agent, rag, api, ai"
no,india,26,"Software Engineer, IAM",Postman,"Hyderabad, Telangana, India",https://job-boards.greenhouse.io/postman/jobs/7687341003,"javascript, python, rag, api"
no,india,24,Agentic Engineer,Netomi,Remote - India,https://jobs.lever.co/netomi/ba379f47-091b-4f2d-82d3-e97a0821227e,"agent, api, ai"
no,india,24,Agentic Solution Engineer,Netomi,Remote - India,https://jobs.lever.co/netomi/b4d9ce2b-479e-47f2-a9c0-52827e94e129,"agent, api, ai"
no,india,23,Software Engineer - Infra + Data,AtoB,Bangalore,https://jobs.ashbyhq.com/atob/8c01e718-2bb7-4cce-90d4-fb8f862d584c,"data engineer, analytics, sql, api"
no,india,21,Exceptional Engineer,SigNoz,India,https://jobs.ashbyhq.com/signoz/3b07b93a-aa97-4a4e-8b12-7c9c3273cf8c,"rest, api, rag"
no,global-remote,45,Frontend Developer,Quinncia Inc,Worldwide,https://remotive.com/remote-jobs/software-development/frontend-developer-2090991,"machine learning, javascript, typescript, frontend, next.js, react, rest, rag"
no,global-remote,44,Machine Learning Engineer II - Autonomous Driving Performance Evaluation,May Mobility,"Anywhere, USA",https://job-boards.greenhouse.io/maymobility/jobs/8187068002,"machine learning, data analy, analytics, dashboard, python, rag, ml"
no,global-remote,13,Financial Software Engineer,Hire Feed,Anywhere,https://jobicy.com/jobs/147723-financial-software-engineer,
no,remote-country-locked,61,Machine Learning Engineer,Twilio,Remote - US,https://job-boards.greenhouse.io/twilio/jobs/7702644,"machine learning, deep learning, data scien, analytics, langgraph, langchain, python, agent"
no,remote-country-locked,59,"Applied AI Engineer, Fullstack",Ramp,"New York, NY (HQ)",https://jobs.ashbyhq.com/ramp/6a7e382f-240a-4952-b9e5-7fe2b3856bc9,"ai engineer, full stack, typescript, fullstack, analytics, frontend, backend, agent"
no,remote-country-locked,56,Machine Learning Engineer,Twilio,Remote - Spain,https://job-boards.greenhouse.io/twilio/jobs/8007455,"machine learning, tensorflow, langgraph, pytorch, python, agent, rest, rag"
no,remote-country-locked,55,Data Science Fellow - AI/NLP,Axle,Remote,https://job-boards.greenhouse.io/axle/jobs/5158529007,"machine learning, data scien, pytorch, python, agent, rest, rag, nlp"
no,remote-country-locked,52,Full Stack Engineer,Quindar,"Denver, CO",https://jobs.ashbyhq.com/quindar/f384450c-697b-427e-8930-58fc195016d2,"javascript, full stack, full-stack, typescript, frontend, backend, next.js, python"
no,remote-country-locked,49,Full-Stack Developer (m/w/d) - TypeScript / Node.js / Headless Commerce,Cannaleo Digital GmbH,Saarbrücken,https://www.arbeitnow.com/jobs/companies/cannaleo-digital-gmbh/full-stack-developer-typescript-nodejs-headless-commerce-saarbrucken-448529,"full-stack, typescript, postgresql, postgres, frontend, backend, next.js, react"
no,remote-country-locked,47,Fullstack Engineer,Oneleet,United States,https://jobs.ashbyhq.com/oneleet/f9fcfef3-b247-485e-bfab-97c3adfcd4a1,"javascript, full stack, typescript, fullstack, analytics, dashboard, frontend, backend"
no,remote-country-locked,45,Engineer - New Solution - Clinics / Provider Groups,Qventus,"Remote, Latin America",https://www.qventus.com/company/working-qventus/job?gh_jid=4079206009,"machine learning, full stack, full-stack, typescript, python, agent, react, rest"
no,remote-country-locked,41,"Analyst II, Full Stack (Customer Servicing Analytics)",Affirm,Remote US,https://job-boards.greenhouse.io/affirm/jobs/7726632003,"machine learning, full stack, analytics, python, agent, rest, rag, llm"
no,remote-country-locked,41,Software Engineer — Integrations,Kodex,US-Remote,https://jobs.ashbyhq.com/kodex/31e53827-080b-4266-945c-950005486081,"typescript, postgresql, dashboard, postgres, frontend, backend, agent, react"
no,remote-country-locked,40,Junior Data Analyst,Caterpillar Inc.,"Houston, Houston, Texas, United States",https://remoteOK.com/remote-jobs/remote-junior-data-analyst-caterpillar-inc-1134008,"data engineer, data analy, data scien, postgresql, analytics, dashboard, postgres, python"
no,remote-country-locked,40,Implementation Engineer,Recidiviz,"Remote, NYC office, or Oakland office",https://job-boards.greenhouse.io/recidiviz/jobs/4677327006,"data analy, full-stack, typescript, analytics, python, react, rest, rag"
no,remote-country-locked,40,Application Security Engineer,Oneleet,United States,https://jobs.ashbyhq.com/oneleet/e3859be5-74ea-4fb5-a1c3-7e54626b1dee,"typescript, fullstack, backend, python, agent, rag, llm, api"
